Transcription	stressInfoA	stressInfoB	Orthography	Frequency	PoSs
æ.s.ɪ.d	'_	S2	acid	14	(AJ N)
ə.s.ɪ.d.ɪ.k	_'_	S3	acidic	0	(AJ)
ə.s.ɪ.d.ɪ.t.i	_'__	S4	acidity	1	(N)
æ.s.ə.d.oʊ.s.ɪ.s	`_'_	S4	acidosis	0	(N)
ə.s.ɪ.dʒ.ʊ.l.ə.s	_'__	S4	acidulous	1	(AJ)
æ.k.n.ɑ.l.ɪ.dʒ	_'_	S3	acknowledge	12	(VT)
æ.k.m.i	'_	S2	acme	0	(N)
æ.k.n.i	'_	S2	acne	0	(N)
æ.k.ə.l.aɪ.t	'_`	S3	acolyte	1	(N)
æ.k.ə.n.aɪ.t	'_`	S3	aconite	0	(N)
eɪ.k.ɔ.ɹ.n	'`	S2	acorn	0	(N)
ə.k.u.s.t.ɪ.k	_'_	S3	acoustic	1	(AJ)
ə.k.w.eɪ.n.t	_'	S2	acquaint	3	(VT)
æ.k.w.i.ɛ.s	`_'	S3	acquiesce	3	(VI)
ə.k.w.aɪ.ɹ	_'	S2	acquire	27	(VT)
æ.k.w.ə.z.ɪ.ʃ.ɪ.n	`_'_	S4	acquisition	17	(N)
ə.k.w.ɪ.z.ɪ.t.ɪ.v	_'__	S4	acquisitive	0	(AJ)
ə.k.w.ɪ.t	_'	S2	acquit	0	(VT)
eɪ.k.ɚ	'_	S2	acre	15	(N)
eɪ.k.ɚ.ɪ.dʒ	'__	S3	acreage	11	(N)
æ.k.ɹ.ə.d	'_	S2	acrid	1	(AJ)
æ.k.ɹ.ɪ.d.ɪ.t.i	_'__	S4	acridity	0	(N)
æ.k.ɹ.ə.m.oʊ.n.i.ə.s	`_'__	S5	acrimonious	0	(AJ)
æ.k.ɹ.ə.m.oʊ.n.i	'_`_	S4	acrimony	0	(N)
æ.k.ɹ.ə.b.æ.t	'_`	S3	acrobat	0	(N)
æ.k.ɹ.ə.b.æ.t.ɪ.k	`_'_	S4	acrobatic	2	(AJ)
æ.k.ɹ.ə.b.æ.t.ɪ.k.s	`_'_	S4	acrobatics	1	(N)
æ.k.ɹ.ə.n.ɪ.m	'_`	S3	acronym	0	(N)
æ.k.ɹ.ə.f.oʊ.b.i.ə	`_'__	S5	acrophobia	0	(N)
ə.k.ɹ.ɑ.p.l̩.ə.s	_'__	S4	acropolis	0	(N)
ə.k.ɹ.ɔ.s	_'	S2	across	283	(AV PP AJ)
ə.k.ɹ.ɔ.s.t.ɪ.k	_'_	S3	acrostic	0	(N)
æ.k.t	'	S1	act	285	(N VT VI)
æ.k.t.ɪ.n.ɪ.k	_'_	S3	actinic	0	(AJ)
æ.k.t.ɪ.n.i.ə.m	_'__	S4	actinium	0	(N)
æ.k.ʃ.ɪ.n	'_	S2	action	302	(N)
æ.k.t.ɪ.v.eɪ.t	'_`	S3	activate	3	(VT VI)
æ.k.t.ɪ.v	'_	S2	active	96	(AJ)
æ.k.t.ɪ.v.ə.t.i	_'__	S4	activity	116	(N)
æ.k.t.ɚ	'_	S2	actor	24	(N)
æ.k.tʃ.u.l̩	'__	S3	actual	99	(AJ)
æ.k.tʃ.u.æ.l.ɪ.t.i	`_'__	S5	actuality	8	(N)
æ.k.tʃ.u.l̩.i	'___	S4	actually	166	(AV)
æ.k.tʃ.u.ɛ.ɹ.i.l̩	`_'__	S5	actuarial	1	(AJ)
æ.k.tʃ.u.ɛ.ɹ.i	'_`_	S4	actuary	0	(N)
æ.k.tʃ.u.eɪ.t	'_`	S3	actuate	1	(VT)
ə.k.j.u.ɪ.t.i	_'__	S4	acuity	0	(N)
ə.k.j.u.m.ə.n	_'_	S3	acumen	1	(N)
ə.k.j.u.t	_'	S2	acute	13	(AJ)
æ.d	'	S1	ad	12	(N)
æ.d.ɪ.dʒ	'_	S2	adage	3	(N)
ə.d.ɑ.dʒ.i.oʊ	_'__	S4	adagio	3	(AV N)
æ.d.ə.m.ə.n.t	'__	S3	adamant	5	(N AJ)
æ.d.ə.m.æ.n.t.i.n	`_'`	S4	adamantine	0	(AJ)
ə.d.æ.p.t	_'	S2	adapt	5	(VT VI)
ə.d.æ.p.t.ə.b.ɪ.l.ɪ.t.i	_`_'__	S6	adaptability	0	(N)
æ.d.æ.p.t.eɪ.ʃ.ɪ.n	``'_	S4	adaptation	10	(N)
æ.d	'	S1	add	89	(VT VI)
ə.d.ɛ.n.d.ə.m	_'_	S3	addendum	0	(N)
æ.d.ɚ	'_	S2	adder	0	(N)
æ.d.ɪ.k.t	'_	S2	addict	1	(VT N)
ə.d.ɪ.k.ʃ.ɪ.n	_'_	S3	addiction	3	(N)
ə.d.ɪ.ʃ.ɪ.n	_'_	S3	addition	142	(N)
ə.d.ɪ.ʃ.ɪ.n.l̩	_'__	S4	additional	120	(AJ)
æ.d.ɪ.t.ɪ.v	'__	S3	additive	3	(AJ N)
æ.d.l̩	'_	S2	addle	1	(AJ VT VI)
æ.d.ɹ.ɛ.s	'`	S2	address	78	(VT VI N)
æ.d.ɹ.ɛ.s.i	``'	S3	addressee	0	(N)
ə.d.u.s	_'	S2	adduce	1	(VT)
ə.d.ɛ.p.t	_'	S2	adept	4	(N AJ)
æ.d.ɪ.k.w.ɪ.t	'__	S3	adequate	66	(AJ)
æ.d.h.ɪ.ɹ	_'	S2	adhere	4	(VI)
æ.d.h.i.ʒ.ɪ.n	_'_	S3	adhesion	2	(N)
ə.d.j.u	_'	S2	adieu	1	(N)
æ.d.i.oʊ.s	`_'	S3	adios	1	(IJ)
æ.d.ə.p.oʊ.s	'_`	S3	adipose	0	(AJ)
æ.d.ə.p.ɑ.s.ɪ.t.i	`_'__	S5	adiposity	0	(N)
ə.dʒ.eɪ.s.ṇ.t	_'_	S3	adjacent	12	(AJ)
æ.dʒ.ɪ.k.t.aɪ.v.l̩	`_'_	S4	adjectival	3	(AJ)
æ.dʒ.ɪ.k.t.ɪ.v	'__	S3	adjective	2	(AJ N)
ə.dʒ.ɔɪ.n	_'	S2	adjoin	0	(VT VI)
ə.dʒ.ɚ.n	_'	S2	adjourn	0	(VT VI)
ə.dʒ.ʌ.dʒ	_'	S2	adjudge	0	(VT)
ə.dʒ.u.d.ɪ.k.eɪ.t	_'_`	S4	adjudicate	1	(VT)
ə.dʒ.u.d.ɪ.k.eɪ.ʃ.ɪ.n	_`_'_	S5	adjudication	4	(N)
æ.dʒ.ʌ.ŋ.k.t	'`	S2	adjunct	6	(N AJ)
æ.dʒ.ɚ.eɪ.ʃ.ɪ.n	`_'_	S4	adjuration	0	(N)
ə.dʒ.ʊ.ɹ	_'	S2	adjure	0	(VT)
ə.dʒ.ʌ.s.t	_'	S2	adjust	16	(VT VI)
æ.dʒ.ə.t.ɪ.n.t	'__	S3	adjutant	0	(N)
æ.dʒ.ə.v.ə.n.t	'__	S3	adjuvant	0	(AJ N)
æ.d.m.æ.n	'`	S2	adman	0	(N)
ə.d.m.ɪ.n.ɪ.s.t.ɚ	_'__	S4	administer	3	(VT VI)
ə.d.m.ɪ.n.ɪ.s.t.ɹ.eɪ.t.ɪ.v	_'_`_	S5	administrative	53	(AJ)
ə.d.m.ɪ.n.ɪ.s.t.ɹ.eɪ.t.ɚ	_'_`_	S5	administrator	15	(N)
æ.d.m.ɚ.ə.b.l̩	'___	S4	admirable	10	(AJ)
æ.d.m.ɚ.l̩	'__	S3	admiral	0	(N)
æ.d.m.ɚ.eɪ.ʃ.ɪ.n	`_'_	S4	admiration	10	(N)
ə.d.m.aɪ.ɹ	_'	S2	admire	10	(VT)
æ.d.m.aɪ.ɹ.ɚ	_'_	S3	admirer	3	(N)
ə.d.m.ɪ.s.ə.b.l̩	_'__	S4	admissible	9	(AJ)
ə.d.m.ɪ.ʃ.ɪ.n	_'_	S3	admission	33	(N)
ə.d.m.ɪ.t	_'	S2	admit	37	(VT VI)
ə.d.m.ɪ.t.ṇ.s	_'_	S3	admittance	1	(N)
æ.d.m.ɪ.k.s	_'	S2	admix	0	(VT)
æ.d.m.ɪ.k.s.tʃ.ɚ	_'_	S3	admixture	0	(N)
æ.d.m.ɑ.n.ɪ.ʃ	_'_	S3	admonish	0	(VT)
æ.d.m.ə.n.ɪ.ʃ.ɪ.n	`_'_	S4	admonition	1	(N)
æ.d.m.ɑ.n.ə.t.oʊ.ɹ.i	_'_`_	S5	admonitory	0	(AJ)
ə.d.u	_'	S2	ado	4	(N)
ə.d.oʊ.b.i	_'_	S3	adobe	2	(N)
æ.d.ə.l.ɛ.s.ṇ.s	`_'_	S4	adolescence	18	(N)
ə.d.ɑ.p.t	_'	S2	adopt	14	(VT)
ə.d.ɑ.p.t.ɪ.v	_'_	S3	adoptive	0	(AJ)
ə.d.oʊ.ɹ.ə.b.l̩	_'__	S4	adorable	3	(AJ)
æ.d.ɚ.eɪ.ʃ.ɪ.n	`_'_	S4	adoration	0	(N)
ə.d.oʊ.ɹ	_'	S2	adore	2	(VT)
ə.d.ɔ.ɹ.n	_'	S2	adorn	1	(VT)
ə.d.ɹ.i.n.l̩	_'_	S3	adrenal	2	(AJ)
ə.d.ɹ.ɪ.f.t	_'	S2	adrift	1	(AV)
ə.d.ɹ.ɔɪ.t	_'	S2	adroit	1	(AJ)
æ.d.s.ɔ.ɹ.b	_'	S2	adsorb	0	(VT)
æ.dʒ.ɪ.l.eɪ.ʃ.ɪ.n	`_'_	S4	adulation	1	(N)
ə.d.ʌ.l.t	_'	S2	adult	25	(AJ N)
ə.d.ʌ.l.t.ɚ.ə.n.t	_'__	S4	adulterant	0	(N)
ə.d.ʌ.l.t.ɚ.eɪ.t	_'_`	S4	adulterate	0	(N AJ)
ə.d.ʌ.l.t.ɚ.i	_'__	S4	adultery	3	(N)
ə.d.ʌ.l.t.h.ʊ.d	_'`	S3	adulthood	3	(N)
æ.d.ə.m.b.ɹ.eɪ.t	'_`	S3	adumbrate	0	(VT)
æ.d.ʌ.m.b.ɹ.eɪ.ʃ.ɪ.n	``'_	S4	adumbration	0	(N)
æ.d.v.æ.n.s	_'	S2	advance	59	(VT VI N AJ)
æ.d.v.æ.n.t.ɪ.dʒ	_'_	S3	advantage	73	(N VT)
æ.d.v.æ.n.t.eɪ.dʒ.ɪ.s	``'_	S4	advantageous	5	(AJ)
æ.d.v.ə.n.t.ɪ.ʃ.ɪ.s	`_'_	S4	adventitious	1	(AJ)
ə.d.v.ɛ.n.tʃ.ɚ	_'_	S3	adventure	14	(N VT VI)
æ.d.v.ɚ.b	'`	S2	adverb	1	(N AJ)
æ.d.v.ɚ.b.i.l̩	_'__	S4	adverbial	2	(AJ)
æ.d.v.ɚ.s.ɛ.ɹ.i	'_`_	S4	adversary	5	(N)
ə.d.v.ɚ.s.ɪ.t.ɪ.v	_'__	S4	adversative	0	(AJ)
æ.d.v.ɚ.s	_'	S2	adverse	11	(AJ)
æ.d.v.ɚ.s.ɪ.t.i	_'__	S4	adversity	2	(N)
æ.d.v.ɚ.t	_'	S2	advert	0	(VI)
æ.d.v.ɚ.t.aɪ.z	'_`	S3	advertise	3	(VT VI)
æ.d.v.ɚ.t.aɪ.z.m.ə.n.t	`_'_	S4	advertisement	2	(N)
æ.d.v.ɚ.t.aɪ.z.ɪ.ŋ	'_`_	S4	advertising	51	(N)
ə.d.v.aɪ.s	_'	S2	advice	52	(N)
ə.d.v.aɪ.z.ə.b.l̩	_'__	S4	advisable	1	(AJ)
ə.d.v.aɪ.z	_'	S2	advise	9	(VT VI)
ə.d.v.aɪ.z.m.ə.n.t	_'_	S3	advisement	2	(N)
ə.d.v.aɪ.z.ɚ.i	_'__	S4	advisory	24	(AJ N)
æ.d.v.ə.k.eɪ.t	'_`	S3	advocate	15	(N VT)
æ.d.z	'	S1	adze	0	(N)
i.dʒ.ɪ.s	'_	S2	aegis	1	(N)
i.ə.n	'_	S2	aeon	1	(N)
ɛ.ɹ.eɪ.t	'`	S2	aerate	1	(VT)
æ.ɹ.eɪ.ʃ.ɪ.n	`'_	S3	aeration	7	(N)
æ.ɹ.i.l̩	'__	S3	aerial	8	(AJ N)
æ.ɹ.i.l̩.ə.s.t	'___	S4	aerialist	0	(N)
ɛ.ɹ.i	'_	S2	aerie	0	(N)
ɛ.ɹ.oʊ	'`	S2	aero	0	(AJ)
ɛ.ɹ.oʊ.b	'`	S2	aerobe	0	(N)
ɛ.ɹ.oʊ.b.ɪ.k	`'_	S3	aerobic	1	(AJ)
æ.ɹ.ə.d.ɹ.oʊ.m	'_`	S3	aerodrome	0	(N)
æ.ɹ.ə.n.ɔ.t	'_`	S3	aeronaut	0	(N)
æ.ɹ.ə.n.ɔ.t.ɪ.k.s	`_'_	S4	aeronautics	1	(N)
æ.ɹ.ə.p.l.eɪ.n	'_`	S3	aeroplane	0	(null)
æ.ɹ.ɪ.s.ɔ.l	'_`	S3	aerosol	7	(N)
æ.ɹ.oʊ.s.p.eɪ.s	'_`	S3	aerospace	0	(N)
æ.ɹ.i	'_	S2	aery	0	(AJ)
ɛ.s.θ.i.t	'`	S2	aesthete	0	(N)
ɛ.s.θ.ɛ.t.ɪ.k	_'_	S3	aesthetic	26	(AJ)
ɛ.s.t.ə.v.eɪ.t	'_`	S3	aestivate	0	(VI)
ɛ.s.t.ə.v.eɪ.ʃ.ɪ.n	`_'_	S4	aestivation	0	(N)
ə.f.ɑ.ɹ	_'	S2	afar	2	(AV)
æ.f.ə.b.ɪ.l.ɪ.t.i	`_'__	S5	affability	0	(N)
æ.f.ə.b.l̩	'__	S3	affable	1	(AJ)
æ.f.ə.b.l.i	'__	S3	affably	0	(AV)
ə.f.æ.ɹ	_'	S2	affair	33	(N)
ə.f.ɛ.k.t	_'	S2	affect	35	(N VI VT)
æ.f.ɛ.k.t.eɪ.ʃ.ɪ.n	``'_	S4	affectation	1	(N)
ə.f.ɛ.k.ʃ.ɪ.n	_'_	S3	affection	18	(N)
æ.f.ɚ.ə.n.t	'__	S3	afferent	1	(AJ)
ə.f.aɪ.ə.n.s	_'_	S3	affiance	0	(N VT)
æ.f.ɪ.d.eɪ.v.ə.t	`_'_	S4	affidavit	0	(N)
ə.f.ɪ.l.i.eɪ.t	_'_`	S4	affiliate	0	(VT VI N)
ə.f.ɪ.n.ɪ.t.i	_'__	S4	affinity	5	(N)
ə.f.ɚ.m	_'	S2	affirm	12	(VT VI)
æ.f.ɚ.m.eɪ.ʃ.ɪ.n	`_'_	S4	affirmation	4	(N)
ə.f.ɚ.m.ə.t.ɪ.v	_'__	S4	affirmative	4	(AJ N)
ə.f.ɪ.k.s	_'	S2	affix	1	(VT N)
ə.f.l.eɪ.t.ɪ.s	_'_	S3	afflatus	0	(N)
ə.f.l.ɪ.k.t	_'	S2	afflict	0	(VT)
æ.f.l.u.ə.n.s	'`_	S3	affluence	4	(N)
ə.f.oʊ.ɹ.d	_'	S2	afford	40	(VT)
ə.f.ɹ.eɪ	_'	S2	affray	0	(N VT)
ə.f.ɹ.aɪ.t	_'	S2	affright	0	(VT N)
